MouseID,Day,T1_S,T1_RPM,T2_S,T2_RPM,T3_S,T3_RPM,Average_Latency,Standard_Deviation,Cohort,SLC_Genotype,Sex
907,One,25.5,9.4,56.7,14.9,43.7,12.7,41.96666667,15.67205581,Three,WT,Male
951,One,68.3,17.1,29.3,9.4,13.8,17.2,37.13333333,28.08172597,Three,WT,Male
904,One,44.2,12.7,47.7,12.7,37.8,11.6,43.23333333,5.020292156,Three,WT,Female
972,One,41.8,11.6,79.9,19.3,79,19.3,66.9,21.74189504,Three,WT,Female
975,One,52.2,13.8,89.5,20.4,89.6,20.4,77.1,21.56409052,Three,HET,Female
903,One,40.4,11.6,76.3,18.2,82.9,19.3,66.53333333,22.87145237,Three,HET,Male
952,One,25.1,9.4,55.9,14.9,62.1,16,47.7,19.81615503,Three,MUT,Male
953,One,33,10.5,35.7,10.5,43.5,12.7,37.4,5.452522352,Three,MUT,Male
113,One,20.8,8.3,35.2,10.5,35,10.5,30.33333333,8.256714439,Three,MUT,Female
974,One,41,11.6,77,18.2,91.6,21.5,69.86666667,26.04329728,Three,MUT,Female
973,One,24.3,9.4,57.9,14.9,78.3,19.3,53.5,27.26756315,Three,MUT,Female
902,One,29,9.4,46.7,12.7,20.6,8.3,32.1,13.32328788,Three,WT,Male
901,One,22.9,8.3,72.2,18.2,82.7,19.3,59.26666667,31.9290359,Three,MUT,Male
954,One,25.9,9.4,70.2,17.1,75,18.2,57.03333333,27.0688628,Three,HET,Female
905,One,71.6,17.1,79.5,19.3,69.4,17.1,73.5,5.31130869,Three,MUT,Female
906,One,52.1,13.8,62.1,16,63.3,16,59.16666667,6.149254697,Three,MUT,Female
908,One,31.4,10.5,8.8,6.1,82.8,19.3,41,37.92255266,Three,HET,Male
909,One,51.4,13.8,43.2,12.7,73.2,18.2,55.93333333,15.50526792,Three,HET,Male
877,One,30.6,10.5,61.8,16,91.3,21.5,61.23333333,30.35396734,Two,WT,Female
797,One,71.2,17.1,64,16,54.5,14.9,63.23333333,8.376355612,Two,HET,Female
798,One,27.9,9.4,34.5,10.5,109,24.8,57.13333333,45.0389091,Two,HET,Female
799,One,45.3,12.7,47.5,12.7,79.9,19.3,57.56666667,19.37248908,Two,HET,Female
803,One,42.5,12.7,43.6,12.7,67.2,17.1,51.1,13.95385251,Two,WT,Male
795,One,7.8,6.1,71.7,17.1,65.4,16,48.3,35.21519558,Two,WT,Female
812,One,51.7,13.8,23.1,8.3,36.4,11.6,37.06666667,14.31165027,Two,HET,Female
878,One,57.4,14.9,40.7,11.6,85.2,20.4,61.1,22.47954626,Two,MUT,Female
869,One,49.7,13.8,72.8,18.2,93,21.5,71.83333333,21.66617948,Two,HET,Female
851,One,28.2,9.4,68.5,17.1,58.7,14.9,51.8,21.01737377,Two,HET,Male
880,One,72.5,18.2,100,22.4,73,18.2,81.83333333,15.73478101,Two,WT,Male
879,One,74.9,18.2,68.9,17.1,82.8,19.3,75.53333333,6.971609092,Two,WT,Male
827,One,81.4,19.3,92.3,21.5,92.2,21.5,88.63333333,6.264449963,Two,HET,Female
809,One,46,12.7,46.2,12.7,47.2,12.7,46.46666667,0.6429100507,One,WT,Male
756,One,66.1,17.1,70,17.1,27.4,9.4,54.5,23.55015924,One,WT,Male
777,One,68,17.1,100,22.6,111,24.8,93,22.3383079,One,WT,Male
810,One,18,8.3,81.1,19.3,60.1,16,53.06666667,32.13258989,One,HET,Male
778,One,34.9,10.5,64.9,16,47,12.7,48.93333333,15.09315518,One,HET,Male
808,One,51,13.8,76.1,18.2,124,27,83.7,37.08867752,One,WT,Female
754,One,27.7,9.4,56.7,14.9,33.4,10.5,39.26666667,15.36435268,One,WT,Male
779,One,62.2,16,38.4,11.6,73.6,18.2,58.06666667,17.96032665,One,HET,Male
780,One,9.7,6.1,30.6,10.5,18.3,8.3,19.53333333,10.5044435,One,HET,Male
755,One,26.8,9.4,68,17.1,92.8,21.5,62.53333333,33.33786636,One,HET,Male
805,One,98.3,22.6,85.3,20.4,68.4,17.1,84,14.99233137,One,MUT,Female
907,Two,73.2,18.2,130,28.1,153,32.5,118.7333333,41.07570247,Three,WT,Male
951,Two,20.4,8.3,94.4,21.5,74.1,18.2,62.96666667,38.23562911,Three,WT,Male
904,Two,42.5,12.7,97,22.6,105,23.7,81.5,34.01102762,Three,WT,Female
972,Two,80.5,19.3,58.2,14.9,97,22.6,78.56666667,19.47211682,Three,WT,Female
975,Two,96.2,22.6,96.6,22.6,125,27,105.9333333,16.51342888,Three,HET,Female
903,Two,38.3,11.6,50.7,13.8,108,24.8,65.66666667,37.18229866,Three,HET,Male
952,Two,86.9,20.4,123,27,87.1,20.4,99,20.78485025,Three,MUT,Male
953,Two,87.3,20.4,65.8,16,96.3,22.6,83.13333333,15.67109866,Three,MUT,Male
113,Two,55.4,14.9,74.8,18.2,86,20.4,72.06666667,15.4820326,Three,MUT,Female
974,Two,116,25.9,107,23.7,121,27,114.6666667,7.094598885,Three,MUT,Female
973,Two,108,24.8,103,23.7,90.3,21.5,100.4333333,9.124874428,Three,MUT,Female
902,Two,24.4,9.4,29.8,9.4,48.7,13.8,34.3,12.75970219,Three,WT,Male
901,Two,69.6,17.1,75.9,18.2,57.9,14.9,67.8,9.134002409,Three,MUT,Male
954,Two,60.8,16,84.2,20.4,42,12.7,62.33333333,21.14174386,Three,HET,Female
905,Two,29.1,9.4,86.8,20.4,75.7,18.2,63.86666667,30.61606332,Three,MUT,Female
906,Two,85.5,20.4,92.9,21.5,66.2,17.1,81.53333333,13.78489512,Three,MUT,Female
908,Two,70.8,17.1,93.4,21.5,110,24.8,91.4,19.67638178,Three,HET,Male
909,Two,57.9,14.9,46.2,12.7,66.8,17.1,56.96666667,10.33166653,Three,HET,Male
877,Two,85.7,20.4,103,23.7,38.4,11.6,75.7,33.44084329,Two,WT,Female
797,Two,115,25.9,147,31.4,109,24.8,123.6666667,20.42873793,Two,HET,Female
798,Two,123,27,137,29.2,128,28.1,129.3333333,7.094598885,Two,HET,Female
799,Two,74.9,18.2,98.7,22.6,94.4,21.5,89.33333333,12.68319098,Two,HET,Female
803,Two,63.5,16,81.1,20.4,82.7,19.3,75.76666667,10.65332499,Two,WT,Male
795,Two,138,30.3,102,23.7,99.3,22.6,113.1,21.6062491,Two,WT,Female
812,Two,35.1,10.5,55,14.9,57.7,14.9,49.26666667,12.34274416,Two,HET,Female
878,Two,112,24.8,136,29.2,141,30.3,129.6666667,15.50268794,Two,MUT,Female
869,Two,57,14.9,91.6,21.5,88.3,20.4,78.96666667,19.09511281,Two,HET,Female
851,Two,71.1,17.1,46.2,12.7,100,22.6,72.43333333,26.92477174,Two,HET,Male
880,Two,89.6,20.4,83.4,19.3,100,22.6,91,8.38808679,Two,WT,Male
879,Two,51.7,13.8,91.1,21.5,90.9,21.5,77.9,22.69008594,Two,WT,Male
827,Two,88.9,20.4,99.9,22.6,148,31.4,112.2666667,31.43092957,Two,HET,Female
809,Two,60,16,73,18.2,74.5,18.2,69.16666667,7.973915809,One,WT,Male
756,Two,47.4,12.7,75.6,18.2,59.9,14.9,60.96666667,14.13022765,One,WT,Male
777,Two,99.4,22.6,86.1,20.4,18.6,8.3,68.03333333,43.32393488,One,WT,Male
810,Two,48.6,13.8,24.7,9.4,92.9,21.5,55.4,34.60476846,One,HET,Male
778,Two,75.5,18.2,58.5,14.9,51.3,13.8,61.76666667,12.42631616,One,HET,Male
808,Two,105,23.7,122,27,96.4,22.6,107.8,13.02766288,One,WT,Female
754,Two,29.9,9.4,16.6,7.2,72.1,18.2,39.53333333,28.97694486,One,WT,Male
779,Two,65.9,16,87.8,20.4,104,23.7,85.9,19.12093094,One,HET,Male
780,Two,49.2,13.8,81.5,19.3,42.7,12.7,57.8,20.78051972,One,HET,Male
755,Two,71.4,17.1,99.8,22.6,79.3,19.3,83.5,14.65844467,One,HET,Male
805,Two,106,23.7,146,31.4,139,30.3,130.3333333,21.36195996,One,MUT,Female
907,Three,147,31.4,158,33.6,139,30.3,148,9.539392014,Three,WT,Male
951,Three,125,27,122,27,110,24.8,119,7.937253933,Three,WT,Male
904,Three,75.8,18.2,82,19.3,87.8,20.4,81.86666667,6.001111008,Three,WT,Female
972,Three,108,24.8,134,29.2,127,28.1,123,13.45362405,Three,WT,Female
975,Three,101,22.6,141,30.3,164,34.7,135.3333333,31.87998327,Three,HET,Female
903,Three,64.7,16,117,25.9,75,18.2,85.56666667,27.70493338,Three,HET,Male
952,Three,114,25.9,133,29.2,125,27,124,9.539392014,Three,MUT,Male
953,Three,69.3,17.1,72.2,18.2,56.9,14.9,66.13333333,8.126704949,Three,MUT,Male
113,Three,70.7,17.1,68.1,17.1,64.5,16,67.76666667,3.113411848,Three,MUT,Female
974,Three,131,28.1,159,33.6,159,33.6,149.6666667,16.16580754,Three,MUT,Female
973,Three,110,24.8,77.6,18.2,80.2,19.3,89.26666667,18.00259241,Three,MUT,Female
902,Three,53.6,13.8,44.7,12.7,81.7,19.3,60,19.31243123,Three,WT,Male
901,Three,130,28.1,99.1,22.6,79.6,19.3,102.9,25.41397253,Three,MUT,Male
954,Three,79.2,19.3,87.8,20.4,95.5,21.5,87.5,8.154140053,Three,HET,Female
905,Three,116,25.9,104,23.7,100,22.6,106.6666667,8.326663998,Three,MUT,Female
906,Three,97.3,22.6,123,27.8,115,25.9,111.7666667,13.15155251,Three,MUT,Female
908,Three,60.5,16,133,29.2,126,28.1,106.5,39.9906239,Three,HET,Male
909,Three,63.5,16,85.7,20.4,81,19.3,76.73333333,11.69886034,Three,HET,Male
877,Three,33.8,10.5,80.4,19.3,78.9,19.3,64.36666667,26.48213234,Two,WT,Female
797,Three,90.5,21.5,116,25.9,132,29.2,112.8333333,20.93044035,Two,HET,Female
798,Three,108,24.8,137,29.2,138,30.3,127.6666667,17.03917056,Two,HET,Female
799,Three,103,23.7,103,23.7,122,27,109.3333333,10.96965511,Two,HET,Female
803,Three,79.8,19.3,57.3,14.9,93.3,21.5,76.8,18.18653348,Two,WT,Male
795,Three,79.5,19.3,162,34.7,145,31.4,128.8333333,43.56125955,Two,WT,Female
812,Three,85.3,20.4,94.9,21.5,92,21.5,90.73333333,4.923751957,Two,HET,Female
878,Three,135,29.2,136,29.2,122,27,131,7.810249676,Two,MUT,Female
869,Three,69.4,17.1,92.1,21.5,92,21.5,84.5,13.07707918,Two,HET,Female
851,Three,80,19.3,61.5,16,68.6,17.1,70.03333333,9.332916657,Two,HET,Male
880,Three,83,19.3,83.8,19.3,130,28.1,98.93333333,26.90749586,Two,WT,Male
879,Three,51.8,13.8,93.3,21.5,96.8,22.6,80.63333333,25.03164664,Two,WT,Male
827,Three,83.7,19.3,153,32.5,169,35.8,135.2333333,45.34052639,Two,HET,Female
809,Three,81.3,19.3,108,24.8,109,24.8,99.43333333,15.7118851,One,WT,Male
756,Three,53.5,13.8,66.9,17.1,109,24.8,76.46666667,28.96037523,One,WT,Male
777,Three,114,25.9,116,25.9,109,24.8,113,3.605551275,One,WT,Male
810,Three,69.5,17.1,135,29.2,151,32.5,118.5,43.18275119,One,HET,Male
778,Three,34.7,10.5,79.7,19.3,98.4,22.6,70.93333333,32.74237825,One,HET,Male
808,Three,123,27,175,36.9,153,32.5,150.3333333,26.1023626,One,WT,Female
754,Three,72.3,18.2,91.8,21.5,87.5,20.4,83.86666667,10.24516146,One,WT,Male
779,Three,82.3,19.3,55.4,14.9,138,30.3,91.9,42.12849392,One,HET,Male
780,Three,114,25.9,48.3,13.8,98.9,22.6,87.06666667,34.41138378,One,HET,Male
755,Three,113,24.8,63.1,16,140,30.3,105.3666667,39.01414273,One,HET,Male
805,Three,110,24.8,184,38,168,35.8,154,38.93584467,One,MUT,Female
